artist	title
A Rocket To The Moon	Baby Blue Eyes (Album Version)
Alex Gaudino Feat. Crystal Waters	Destination Calabria
DMX / Big Stan	We 'Bout To Blow
John Legend	Coming Home
Tegan And Sara	Call It Off (Album Version)
Eazy-E	Eazy-Er Said Than Dunn
The Maine	This Is The End
Gorillaz	DARE
All Time Low	Stella
Tiësto	In The Dark (ft. Christian Burns)
Massive Attack	Babel
Jay-Z	D'Evils
DMX	The Rain
Infected Mushroom	Converting Vegetarians
Sirenia	Winterborn 77
Massive Attack	Paradise Circus (Breakage's Tight Rope Remix)
Daft Punk	Aerodynamic (Daft Punk Remix)
tobyMac	City On Our Knees
Infected Mushroom	Deeply Disturbed
Tiësto feat. Calvin Harris	Century
Alanis Morissette	That I Would Be Good (Live/Unplugged Version)
Paul Oakenfold	Ready_ Steady_ Go (Album Version)
Maroon 5	Until You're Over Me
Jon McLaughlin	Beautiful Disaster
Sara Bareilles	Love On The Rocks
Natiruts	Jamaica Roots II(Agora E Sempre)
Rihanna	We Ride
PATY CANTU	Déjame Ir
Ok Go	Get Over It
A Fine Frenzy	Happier
Mano Negra	Mala Vida
Enrique Iglesias	Dímelo
Todd Barry	Sugar Ray (LP Version)
Dierks Bentley	Lot Of Leavin' Left To Do
Dierks Bentley	Come A Little Closer
Taylor Swift	Forever & Always
Justin Timberlake	LoveStoned/I Think She Knows
The Hush Sound	You Are the Moon (Album Version)
Train	All I Hear
ZZ Top	Gimme All Your Lovin' (LP Version)
The Pussycat Dolls	Buttons
The Pussycat Dolls / Busta Rhymes	Don't Cha
Renegade Soundwave	Pocket Porn (1990)
JoJo	Leave (Get Out)
AFI	Paper Airplanes (makeshift wings)
George Lopez	Everything You Touch We Touch First (America'S Mexican)
The Pussycat Dolls	When I Grow Up
AFI	Dancing Through Sunday
Radiohead	Talk Show Host
Carrie Underwood	Look At Me
Vampire Weekend	I Stand Corrected (Album)
Arcade Fire	Keep The Car Running
Kim Sozzi	All I Want Is You (Josh Harris Remix)
Stone Temple Pilots	Creep (LP Version)
Mumm-Ra	She's Got You High
AFI	Silver And Cold
Elton John / Kiki Dee	Don't Go Breaking My Heart
Edward Sharpe & The Magnetic Zeros	Jade
Children Of Bodom	Angels Don't Kill
Madonna	Cherish
The Morning Benders	Excuses
Christina Aguilera	Genie In A Bottle
Pantera	Hollow (LP Version)
Yellowcard	Empty Apartment
Bachman Turner Overdrive	Takin' Care Of Business
Onar	Xehasmeni Melodia
Bryan Adams	Heaven
Soundgarden	Blow Up The Outside World
Alison Krauss	When You Say Nothing At All
Disturbed	Pain Redefined (Album Version)
Gretchen Wilson	Redneck Woman
Soundgarden	Pretty Noose
+44	No_ It Isn't
James Taylor	Fire And Rain
Little Joy	Dont Watch Me Dancing
The Cinematic Orchestra	To Build A Home
Audioslave	Doesn't Remind Me
Duran Duran	Rio
The Decemberists	Song for Myla Goldberg
Noisy Stylus	Stand Back
Interpol	Slow Hands
Vampire Weekend	Mansard Roof (Album)
Grizzly Bear	Marla
Cypress Hill	Hits From The Bong
Camera Obscura	If Looks Could Kill
Pat Benatar	We Belong
Foals	Cassius (album version)
Grizzly Bear	Lullabye
Pixies	Down To The Well
The Smiths	Reel Around The Fountain
Eels	Climbing To The Moon
Nightwish	Over The Hills And Far Away
Junip	Turn To The Assassin
The Moody Blues	Tuesday Afternoon
Chromeo	Tenderoni (Radio edit)
Chromeo	Momma's Boy
Huey Lewis & The News	If This Is It
Rinôçérôse / Mark Gardener	Where You From?
Michael Cretu	The Invisible Man
Kosheen	Empty Skies
Eddy Grant	Electric Avenue
A Fine Frenzy	Bird of the Summer
Postal Service	Nothing Better (Album)
Andre Hazes	Che Sara
Grizzly Bear	Little Brother
Lonnie Gordon	Catch You Baby (Steve Pitron & Max Sanna Radio Edit)
Edwyn Collins	You'll Never Know (My Love) (Bovellian 07 Mix)
Coko featuring Kirk Franklin	I Get Joy
Panic At The Disco	Behind The Sea [Live In Chicago]
Markus Krunegård	Genom tunna tyger
Charlie Louvin	I Think I'll Live
Five Iron Frenzy	Canada
Valerio Scanu	Esisti Tu
Cradle Of Filth	Better To Reign In Hell
Rage Against The Machine	Wake Up (Album Version)
Junior Boys	What It's For
Yellowcard	Miles Apart
Andy Starr	Rockin' Rollin' Stone
The Humpers	Soul Surgeon
The Crests	16 Candles
MGMT	It's Working
Moby	Why Does My Heart Feel So Bad? (2006 Digital Remaster)
Beastie Boys	Unite (2009 Digital Remaster)
Aaliyah	Rock The Boat
MGMT	Someone's Missing
MGMT	I Found A Whistle
MGMT	4th Dimensional Transition
Lhasa De Sela	Para El Fin Del Mundo O El Ano Nuevo
THE CHIFFONS	He's So Fine
Little Anthony & The Imperials	Goin' Out Of My Head
matchbox twenty	Real World  (LP Version)
The Kills	Black Balloon
Robert Johnson	I?'m A Steady Rollin? Man
The Whitest Boy Alive	Fireworks (bonus track)
The Supremes	Baby Love
Gareth Emery	More Than Everything
Jay & The Americans	Come A Little Bit Closer
Gene Chandler	Duke Of Earl
Bobby Darin	Dream Lover
Nirvana	Been A Son
Enigma	Knocking On Forbidden Doors
En Vogue	My Lovin' (You're Never Gonna Get It) (LP Version)
Alejandro Sanz	Non E_ Per Te_ Per Me
Spice Girls	Spice Up Your Life (Morales Beats)
At The Drive-In	Invalid Letter Dept.
Radiohead	Jigsaw Falling Into Place
Lupe Fiasco	Shining Down [feat. Matthew Santos] (Amended Album Version)
The Ruts	West One (Shine On Me)
Amy Winehouse	Valerie
High School Musical Cast	High School Musical
The Killers	Somebody Told Me
Beyoncé feat. Jay-Z	Crazy In Love
The Black Keys	I'll Be Your Man
Nirvana	Heart Shaped Box
Dangerdoom	No Names (Black Debbie)
Danger Doom	The Mask (Featuring Ghostface Killah) (Album Version)
The Runaways	Cherry Bomb
Nirvana	Lithium
Delta Spirit	Children
Dangerdoom	Crosshairs
Nirvana	Stay Away
Radiohead	Faust Arp
Brandy	I Wanna Be Down ( LP Version )
My Chemical Romance	Welcome To The Black Parade (Album Version)
Tech N9ne	Come Gangsta
Staind	Outside (Original LP Version)
Kruiz	Possessed
Aaliyah	Are You That Somebody? ( LP Version )
Radiohead	15 Step
Nirvana	Dumb
The Black Keys	Heavy Soul
Beastie Boys	Body Movin'
Danger Doom	Old School Rules (Album Version)
Subhumans	Rain
Radiohead	House Of Cards
Lamb	Scratch Bass
Phoenix	Fences
Gian Marco	Volveré
Delta Spirit	Ode To Sunshine
Radiohead	Weird Fishes/Arpeggi
Gogol Bordello	American Wedding
Danger Doom	Bada Bing (Album Version)
Secondhand Serenade	Broken
Alicia Keys featuring Tony! Toni! Toné! and Jermaine Paul	Diary
Elliott Smith	Coming Up Roses
Ok Go	Here It Goes Again
The White Stripes	Fell In Love With A Girl
The Strokes	Last Nite
Queens Of The Stone Age	Into The Hollow
Beirut	A Sunday Smile
JET	Rollover D.J. (Album Version)
Elliott Smith	Clementine
Yellowcard	Believe
Elliott Smith	Needle In The Hay
Hans Zimmer_ James Newton Howard	Molossus
Modest Mouse	The Good Times Are Killing Me
Beirut	Postcards From Italy
Jaco Pastorius	Punk Jazz (Live Verison)
Snow Patrol	You Could Be Happy
The Black Keys	Remember When (Side A)
Eddie Vedder	Guaranteed
Pearl Jam	Yellow Ledbetter
Dido	Don't Leave Home
La Renga	Panic Show
Asia 2001	Epilogue
Red Hot Chili Peppers	Under The Bridge (Album Version)
Moby	Lift Me Up
Horkyze Slyze	Fakty
Plan B	She Said
La Renga	Bien Alto
No Te Va Gustar	Como Brillaba tu Alma
Collective Soul	Reunion (LP Version)
Red Hot Chili Peppers	Otherside (Album Version)
John Legend featuring Kanye west	Number One
Ace of Base	All That She Wants
Staind	Pressure (Explicit LP Version)
In This Moment	You Always Believed
P.O.D.	Youth Of The Nation (2006 Remastered Album Version)
P.O.D.	Going In Blind
Darude_ JS16	Feel the Beat
Helloween	Mr. Torture
Limp Bizkit	Rollin' (Air Raid Vehicle)
Xavier Rudd	Land Rights
Alien Ant Farm	Smooth Criminal
Tina Turner	All The Woman (Recorded Live In London '99)
P.O.D.	Alive (2006 Remastered Album Version)
PeterLicht	Heiterkeit
Enrique Iglesias	Trapecista
Beyoncé feat. Jay-Z	Deja Vu
Creed	Bullets
The Black Keys	I Got Mine
Danity Kane	Ride For You (Album Version)
The Black Keys	Next Girl
The Black Keys	Your Touch
Ray LaMontagne	Shelter
The Black Keys	Sinister Kid
Nelly / City Spud	Ride Wit Me
Ray LaMontagne	How Come
Relient K	I So Hate Consequences (Album Version)
The Black Keys	Psychotic Girl
Ray LaMontagne	Hold You In My Arms
The Black Keys	Shes Long Gone
Jimmy Needham	The Great Love Story
The Black Keys	Strange Times
The Black Keys	The Only One
Flogging Molly	Swagger
The Black Keys	Ten Cent Pistol
Alex Party	Don't Give Me Your Life
Erin McKeown	Blackbirds
The Black Keys	Im Not The One
Ray LaMontagne	Three More Days
Green Day	She (Album Version)
Michael Bublé	Put Your Head On My Shoulder (Album Version)
Flogging Molly	The Seven Deadly Sins
Shiny Toy Guns	Major Tom (Coming Home)
Michael Bublé	Crazy Little Thing Called Love (Album Version)
Nine Inch Nails	Head Like A Hole
Gavin Rossdale	Love Remains The Same
Gul 3	Rock Steady
Miranda Lambert	Me And Charlie Talking
Radney Foster	Sweet And Wild
Michael Bublé	Moondance (Album Version)
Tenth Avenue North	Times
Tenth Avenue North	Break Me Down
Tenth Avenue North	By Your Side
Avenged Sevenfold	Bat Country (Album Version)
Jennifer Lopez	Let's Get Loud
Masta Killa	Ringing Bells
Natasha Bedingfield	Unwritten
Michael Bublé	Home (Album Version)
Michael Bublé	Save The Last Dance For Me [Ralphi Rosario Anthomic Vocal]
The Human League	Human
Tenth Avenue North	Hold My Heart
Rihanna	Don't Stop The Music
Taylor Swift	Hey Stephen
Grandmaster Flash	Magic Carpet Ride
Michael Bublé	Come Fly With Me (Album Version)
Chromeo	Outta Sight
Miranda Lambert	Gunpowder & Lead
The Mad Capsule Markets	Creature
Kanye West	Stronger
Taylor Swift	Change
Michael Bublé	You'll Never Find Another Love Like Mine (Album Version)
Taylor Swift	Forever & Always
keller williams	221
Taylor Swift	Our Song
Michael Bublé	Sway (Album Version)
Miranda Lambert	Me and Your Cigarettes
Michael Bublé	That's All (Album Version)
Taylor Swift / Colbie Caillat	Breathe
Justin Timberlake	Cry Me A River
Michael Bublé	For Once In My Life (Album Version)
Christina Aguilera	Pero Me Acuerdo De Tí
Antony & The Johnsons	For Today I Am A Boy
Crystal Castles	Celestica
Deftones	Back To School (Mini Maggit) (LP Version)
Justice	Newjack
The xx	Basic Space
Crystal Castles	Baptism
Gang Of Four	5.45
Des'ree	You Gotta Be
Deana Carter	Did I Shave My Legs For This?
Leona Lewis	Better in time
Five Finger Death Punch	Bulletproof
Deftones	Beauty School (Album Version)
Arctic Monkeys	Brianstorm
Nickel Creek	The Lighthouse's Tale
The xx	Fantasy
Héroes del Silencio	El Refugio Interior
Selena Gomez & The Scene	Stop & Erase
Deftones	Passenger (LP Version)
Arctic Monkeys	Perhaps Vampires Is A Bit Strong But...
Boys Noize	& Down
Arctic Monkeys	Dancing Shoes
Amos Lee	Keep It Loose_ Keep It Tight
Arctic Monkeys	Still Take You Home
Miley Cyrus	The Time Of Our Lives
The xx	Infinity
Matisyahu	Exaltation
M. Pokora	Danse Pour Moi
Amos Lee	Give It Up
Jason Mraz	You And I Both (LP Version)
Jill Scott	He Loves Me
Jason Mraz	Mr.Curiosity  (Album Version)
James Blunt	I'll Take Everything  (Album Version)
Ida Corr Vs Fedde Le Grand	Let Me Think About It
Alice Deejay	Better Off Alone
ENUR Feat NATASJA	Calabria 2007
Jack Johnson	Cocoon
Craig David	All The Way (Single Version)
Amos Lee	Soul Suckers
G. Love	Holla!
Westside Connection	Terrorist Threats (Edited)
Keri Hilson	Tell Him The Truth
The All-American Rejects	Don't Leave Me
Jack Johnson	Wrong Turn
Boyz II Men	End Of The Road
Plies	Kept It Too Real (Amended Album Version)
James Blunt	I Really Want You  (Album Version)
Justin Bieber	Runaway Love
Lady GaGa	Paper Gangsta
Amos Lee	Dreamin'
Lily Allen	Not Fair
Alexi Murdoch	Blue Mind
Lily Allen	Everyone's At It
Amy Winehouse	Amy Amy Amy / Outro
Damian Marley / Stephen Marley	All Night
Cassie	Call U Out (Album Version)
Jem	Falling for You
Jason Mraz	Make It Mine (Album Version)
Plies featuring Akon	Hypnotized (featuring Akon) (Explicit Album Version)
Jack Johnson	Questions
Katy Perry	Lost
Amy Winehouse	You Know I'm No Good
Jill Scott	Hate On Me
Hymie's Basement	Ghost Dream
Amos Lee	Bottom Of the Barrel
Eric Church	Sinners Like Me
Eric Church	Carolina
Cassie	Just One Nite (Album Version)
Elizeth Cardoso	Sei Lá Mangueira
Kings Of Leon	I Want You
Amos Lee	Colors
The Killers	A Dustland Fairytale
Amos Lee	Baby I Want You
Lily Allen	LDN
Dru Hill	We're Not Making Love No More
Civil Twilight	Letters From The Sky
Pantera	Rise (LP Version)
Angus & Julia Stone	Jewels And Gold
Devin Townsend	Kingdom
Beyoncé	Naughty Girl
Lily Allen	Cheryl Tweedy
Jason Mraz	Not So Usual (Eagles Ballroom Live Version)
Pepper	Sitting On The Curb (LP Version)
Jason Mraz	Live High (Album Version)
Pepper	Stormtrooper (LP Version)
Avenged Sevenfold	Seize The Day (Album Version)
Pavel Dobes	Vzpominky IV.
Matt Nathanson	Heartbreak World
Plastilina Mosh	Aló
Feist	1234
What We Feel	Shoulder to shoulder 2009
Rancid	Time Bomb (Album Version)
The Rolling Stones	Dead Flowers
Daft Punk	Harder Better Faster Stronger (The Neptunes Remix)
Secondhand Serenade	Goodbye
Matt Nathanson	Gone
Chris Cagle	Anywhere But Here
David Banner	Really Don't Wanna Go
Michael Sembello	Maniac
Aventura	All Up 2 You (feat. Akon_ Wisin & Yandel)
Enrique Iglesias	Por Amarte
Alexi Murdoch	Song For You
K'Naan	Fatima
The Roots / Erykah Badu	You Got Me
K'Naan	Take A Minute
Marisa Monte	Ainda Lembro
Broken Social Scene	Ungrateful Little Father
Bon Iver	re:stacks
Maria Gadú	Tudo Diferente
Sick Puppies	Should've Known Better
Papa Roach	Hollywood Whore
Alexi Murdoch	Breathe
Apocalyptica featuring Corey Taylor	I'm Not Jesus
Green Day	Letterbomb [feat. Green Day & The Cast Of American Idiot] (Album Version)
Killswitch Engage	My Curse (Album Version)
The Strokes	I'll Try Anything Once
Shinedown	Sin With A Grin (Album Version)
Nine Inch Nails	Piggy
Placebo	The Bitter End
Bullet For My Valentine	Alone
MC Hammer	Addams Groove
Alejandro Sanz	La Margarita Dijo No
Smash hit combo	Histoire de geek
Alejandro Sanz	¿Lo Ves? [Piano Y Voz]
Nine Inch Nails	Hurt
Secondhand Serenade	Vulnerable
Nine Inch Nails	Closer
Kelly Clarkson	My Life Would Suck Without You
Green Day	Sassafras Roots (Album Version)
Nickelback	Something In Your Mouth (Album Version)
Nine Inch Nails	Heresy
Hellogoodbye;Elliott Yamin	Here (In Your Arms) (Radio Edit)
Kaiser Chiefs	I Predict A Riot
Lionel Rogg	Die Kunst der Fuge_ BWV 1080 (2007 Digital Remaster): Contrapunctus XVII - Inversus
Avenged Sevenfold	Second Heartbeat
Calle 13	Sin Coro
Avenged Sevenfold	Sidewinder (Album Version)
Tag Team	Whoomp! There It Is
Interpol	PDA (E.P Version)
Nine Inch Nails	Dead Souls (LP Version)
LMFAO	Get Crazy
Calle 13	Un Beso de Desayuno
Kaiser Chiefs	Modern Way
KT Tunstall	Under The Weather
Muse	Plug In Baby
Lady GaGa	Boys Boys Boys
KT Tunstall	Another Place To Fall
Kaiser Chiefs	Everyday I Love You Less and Less
KT Tunstall	Stoppin' The Love
Taylor Swift	Forever & Always
Justin Bieber	Never Let You Go
Guns N' Roses	Don't Cry (Original)
Atreyu	Gallows (Album Version)
Sisters Of Mercy	This Corrosion
Afroman	Because I Got High
Dr. Dre / Eminem / Alvin Joiner	What's The Difference
Everclear	Father Of Mine
Bon Jovi	In These Arms
Bon Jovi	Lay Your Hands On Me
Faith No More	Epic
M83	We Own The Sky (Edit)
Band Of Horses	For Annabelle
Erin McCarley	Pony (It's OK)
Randy Travis	On The Other Hand (Album Version)
The Whitest Boy Alive	Island
The Whitest Boy Alive	Intentions
The Whitest Boy Alive	Courage
Matt Nathanson	Bent
The Whitest Boy Alive	Gravity
John Waite	Missing You
Matt Nathanson	Still
Guns N' Roses	Patience
The Whitest Boy Alive	Keep A Secret
The Whitest Boy Alive	Golden Cage
Aventura	Su veneno
Aventura	Yo quisiera amarla
Switchblade Symphony	Dollhouse
10 Years	Through The Iris
Jill Scott	The Real Thing
Lionel Richie	Three Times A Lady
Audioslave	Shadow On The Sun
Masta Killa	Duel Of The Iron Mic feat. GZA
Bell Biv DeVoe	Poison
Hootie And The Blowfish	Time (LP Version)
L.A. Guns	The Ballad Of Jayne
Survivor	Eye Of The Tiger
Band Of Horses	The General Specific (Album)
Phil Collins	Another Day In Paradise
Bonobo	Pick Up
Bonobo	Noctuary
Britney Spears	Oops!...I Did It Again
Counting Crows	Mr. Jones
Bonobo	Nothing Owed
Bon Jovi	You Give Love A Bad Name
Young Bleed	We Don't Stop (Explicit)
Bonobo	D Song
Queen	Who Wants To Live Forever (With Commentary)
Colossal	Brave The Elements
Guns N' Roses	Paradise City
Disturbed	Inside The Fire (Album Version)
Regina Spektor	Chemo Limo (Remastered Version)
Bob Marley	Lively Up Yourself
Trapt	Headstrong (Album Version)
Juanes	Damelo
Green Day	St. Jimmy [feat. Green Day & The Cast Of American Idiot] (Album Version)
Regina Spektor	Man Of A Thousand Faces (Album Version)
Regina Spektor	Mary Ann
Regina Spektor	Baobabs (Bonus Album Version)
Kajagoogoo	Too Shy
Los Rodriguez	En El Ultimo Trago
Miley Cyrus	The Climb
Camila	Entre Tus Alas
Guns N' Roses	Civil War
Marilyn Manson	Angel With The Scabbed Wings
Jag Panzer	Reign Of The Tyrants
Nickelback	This Afternoon (Album Version)
Blur	Country House
Bon Jovi	It's My Life
Happy Mondays	Holiday
Guns N' Roses	Mr. Brownstone
Phil Collins	You Can't Hurry Love
LL Cool J	Mama Said Knock You Out
Queen	Under Pressure
The All-American Rejects	The Last Song
Cat Stevens	Where Do The Children Play?
Francesca Battistelli	Beautiful_ Beautiful (Album)
Beach House	Astronaut
Sanctus Real	Whatever You're Doing (Something Heavenly)
Francesca Battistelli	Someday Soon (Album)
Creedence Clearwater Revival	Fortunate Son
Cat Stevens	Hard Headed Woman
All Time Low	Hello_ Brooklyn
Descendents	Kabuki Girl
Moby	Electricity
Muse	Stockholm Syndrome
Two Door Cinema Club	Costume Party
DJ Shadow	Fixed Income
Alicia Keys	Like The Sea
Alicia Keys	Distance And Time
Magna Cum Laude	Ide elég lesz ez a sor
Black Eyed Peas	Let's Get It Started
Shakira	Sombra De Ti
The Roots / Mercedes Martinez	Clock With No Hands
Vanessa Da Mata	Pirraça
Shakira	Estoy Aquí
Supertramp	Give A Little Bit
Adrian Sherwood	Processed World
Kelly Clarkson	Already Gone
Jorge Drexler	Deseo
LCD Soundsystem	Drunk Girls
Rico Bernasconi	Love Deep Inside
Jonas Brothers	Goodnight And Goodbye
Alicia Keys	No One
Jorge Drexler	No Pienses De Mas
Barry White	Can't Get Enough Of Your Love_ Babe
Gotan Project	Época
Jorge Drexler	Todo se transforma (Cara B)
Amoral	Year of the Suckerpunch
Angus & Julia Stone	Soldier
Dido	White Flag
India.Arie	Ready For Love
Xavier Rudd	Footprint
Alicia Keys	Slow Down
Supertramp	Bloody Well Right
Jorge Drexler	Guitarra y vos
Alicia Keys	How It Feels To Fly
Son House	Empire State Express
Alicia Keys	Never Felt This Way
Shakira	Did It Again (featuring Kid Cudi)
Sting	Shape Of My Heart
Unter Null	Third Party
Devin Townsend	Sister
Alicia Keys	Harlem's Nocturne
Devin Townsend	Olives
The Lonely Island / Julian Casablancas	Boombox
Bruce Springsteen	Streets Of Philadelphia
Jorge Drexler	Milonga del moro judio
The New Pornographers	It's Only Divine Right
Soltero	Ghost At The Foot Of The Bed
The Killers	Sam's Town
Jorge Drexler	Don de fluir
Five Finger Death Punch	Falling in Hate
Massive Attack	Sly
Sia	Sea-Shells
Alicia Keys	A Woman's Worth
Britt Nicole	You
Twisted Sister	We're Not Gonna Take It
Dido	Stoned
Slipknot	The Heretic Anthem (Album Version)
The Lonely Island	We Like Sportz
Dido	Mary's In India
Rob Zombie	American Witch
Train	Calling All Angels
Black Eyed Peas	My Humps
3OH!3	IMNOTYOURBOYFRIENDBABY (Amended Album Version)
Plastilina Mosh	Mr. P-Mosh
Jorge Drexler	Salvapantallas
Alicia Keys	Try Sleeping With A Broken Heart
Tegan And Sara	So Jealous
Michael Bublé (With Nelly Furtado)	Quando_ Quando_ Quando (Album Version)
Chuck Berry	Almost Grown
Alicia Keys	Doesn't Mean Anything
Gorillaz	Clint Eastwood (Ed Case/Sweetie Irie Refix) (Edit)
Tegan And Sara	Nineteen (Album Version)
Massive Attack	Psyche
Stealers Wheel	Stuck In The Middle With You
Dido	Thank You
Jorge Drexler	Eco
Nickel Creek	Helena
Alicia Keys	Streets Of New York (City Life)
Jamiroquai	Space Cowboy
Two Gallants	Crow Jane
Massive Attack	Atlas Air
Café Tacvba	El baile y el salón
The Cardigans	Lovefool
No Doubt	Don't Speak
Moby	Beautiful
Timbaland / Justin Timberlake / Nelly Furtado	Give It To Me
Daddy Yankee	Llamado De Emergencia
Gerry Rafferty	Baker Street (Edit)
Danny Wilson	Mary's Prayer
Daddy Yankee	La Despedida
Don Omar	Salio El Sol
Natalie Imbruglia	Torn
Devendra Banhart	There Was The Sun
Don Omar	Dile
Florence + The Machine	Kiss With A Fist
Bon Iver	Blood Bank
Band Of Horses	Is There a Ghost (Album)
Florence + The Machine	I'm Not Calling You A Liar
Feist	The Limit To Your Love
Devendra Banhart	Ay Mama
Carla Bruni	Afternoon (Album)
Penguin Café Orchestra	Steady State (2001 Digital Remaster)
Florence + The Machine	Between Two Lungs
Devendra Banhart	An Island
Florence + The Machine	Rabbit Heart (Raise It Up)
Rage Against The Machine	People Of The Sun
Jason Derulo	What If (Album Version)
Florence + The Machine	My Boy Builds Coffins
Grandmaster Flash & The Furious Five	The Message
Future Rock	Gears
Carla Bruni	Autumn (Album)
Band Of Horses	Cigarettes_ Wedding Bands (Album)
The Killers	Under The Gun
Devendra Banhart	The Body Breaks
The Smiths	This Charming Man
Miley Cyrus	See You Again
Kaiser Chiefs	Never Miss A Beat
The Smiths	What Difference Does It Make?
The Decemberists	The Hazards Of Love 4 (The Drowned)
The Mamas & The Papas	California Dreamin'
Incubus	Blood On The Ground
Violent Femmes	Blister In The Sun
Steve Miller Band	The Joker
Earthless	Cherry Red (Groundhogs Cover)
Silversun Pickups	Well Thought Out Twinkles
The Specials	You're Wondering Now (Re-Recorded / Remastered)
Kaiser Chiefs	Ruby
The Smiths	Bigmouth Strikes Again
Fleetwood Mac	Go Your Own Way (LP Version)
Andrea Bocelli	Quante Volte Ti Ho Cercato
Third Day	Offering
Kaiser Chiefs	Love's Not A Competition (But I'm Winning)
Lynyrd Skynyrd	Sweet home Alabama
Lostprophets	We Still Kill The Old Way
Far Corner	Do You Think I'm Spooky?
The Human League	Don't You Want Me (Original Version)
Duran Duran	The Wild Boys
Duran Duran	Girls On Film
Ex-Models	Other Mathematics
Silversun Pickups	Growing Old Is Getting Old (Album Version)
Spoon	Written In Reverse
Silversun Pickups	Little Lover's So Polite
Dion & The Belmonts	I Wonder Why
Ordo Rosarius Equilibrio	When We Murdered the World on the Fourteenth of May
The Blizzard	Kalopsia
The Long Blondes	Nostalgia
Simon Patterson	Thump
Cyberfit	Pojo Pojo
Amon Amarth	North Sea Storm (Live)
Josh Turner	Firecracker
Lauryn Hill Featuring Carlos Santana	To Zion
All Time Low	Break Your Little Heart
Atomic Rooster	Lost In Space
The Archies	Sugar Sugar
Evanescence	Taking Over Me (Live in Europe)
Destiny's Child	Say My Name
Evanescence	My Last Breath
Evanescence	Whisper
Evanescence	Everybody's Fool (Live in Europe)
All Time Low	Sick Little Games
All Time Low	Break Out! Break Out!
Evanescence	Lithium
Trey Songz	Panty Droppa [Intro] (Album Version)
Devendra Banhart	At The Hop
Dizzee Rascal and Armand Van Helden	Bonkers
Mariah Carey	Touch My Body
Lil Wayne / Bobby Valentino / Kidd Kidd	Mrs. Officer
DHT Feat. Edmée	Listen To Your Heart
Usher	Nice & Slow
Camera Obscura	You Told A Lie
Maroon 5	Sunday Morning
Ludovico Einaudi	Primavera
Mariah Carey	Joy Ride
ATB	You're Not Alone
Young Money featuring Lloyd	BedRock (Radio Edit) (feat.Lloyd)
Nicholas Hooper	Dumbledore's Speech ("Harry Potter & The Half-Blood Prince")
Trey Songz	Can't Help But Wait (Album Version)
Ying Yang Twins ft. Lil Jon & The East Side Boyz	Salt Shakers
Cat Stevens	Peace Train
Maná	Mariposa traicionera
Staind	It's Been Awhile (Clean Edit)
Elbow	Weather To Fly
Paramore	Misguided Ghosts (Album Version)
Owen Pallett	Lewis Takes Off His Shirt
Café Tacvba	La chica banda
Cass McCombs	That's That
The Kooks	Seaside
Primus	Too Many Puppies
Angels and Airwaves	Distraction
Jack Johnson	Do You Remember
Twista feat. Kayne West & Jamie Foxx	Slow Jamz (Feat. Kanye West & Jamie Foxx) (Edited Album Version)
Paramore	Looking Up (Album Version)
Café Tacvba	Las batallas
Jack Johnson	Never Know
Plain White T's	Friends Don't Let Friends Dial Drunk
Los Bunkers	Ven Aquí
Lighthouse Family	High
Ximena Sarinana	Monitor
La Ley	El duelo
Guns N' Roses	You Could Be Mine
Los Bunkers	Miéntele
Red Hot Chili Peppers	She Looks To Me (Album Version)
Liz Callaway	Once Upon A December (LP Version)
Alanis Morissette	Hand In My Pocket (Acoustic Album Version)
Julieta Venegas	Andar Conmigo
Molotov	Marciano (I Turned Into A Martian)
Covenant	XRDS
Café Tacvba	María
Taylor Swift	Tim McGraw
Ashlee Simpson	Pieces Of Me
Queensryche	Silent Lucidity (2002 Digital Remaster)
Akon	Locked Up
The All-American Rejects	Dirty Little Secret
Fountains Of Wayne	Stacy's Mom
Kelly Clarkson	Miss Independent
Cassie Feat. Diddy & Yung Joc	Me & U
Blue October	Into The Ocean
Kid Cudi / Kanye West / Common	Make Her Say
Chris Willis	Mighty Love                (Chris Willis Album Version)
Taylor Swift	Cold As You
Shaggy / Ricardo Ducent	It Wasn't Me
Alexi Murdoch	Towards The Sun
Cake	Arco Arena
Stelios Kazantzides	Condemn Me Society (Katadikase me koinonia)
Pereza	Lo  Que Tengo Yo Adentro
Alexi Murdoch	Wait
Cassie	Ditto (Album Version)
Musiq / Ayana	Girl Next Door
Rihanna	Lemme Get That
Jack Johnson	Times Like These
Swizz Beatz	Big Munny
Thievery Corporation	Pela Janela (Through the Window) featuring Gigi Rezende
Great Lake Swimmers	Merge_ A Vessel_ A Harbour
John Legend featuring The Stephens Family	It Don't Have To Change
Bon Iver	The Wolves (Act I and II)
The Decemberists	Billy Liar
La Roux	I'm Not Your Toy
Portishead	Mourning Air
Billy Squier	My Kinda Lover
Ben Folds	Losing Lisa
Madonna	Beautiful Stranger
The Decemberists	As I Rise
Foo Fighters	Breakout
Foo Fighters	Generator
Foolish Things	Who Can Compare
No Doubt	Spiderwebs
Iron And Wine	The Devil Never Sleeps (Album)
Foo Fighters	Next Year
The Magic Numbers	Which Way To Happy
Florence + The Machine	Hardest Of Hearts
Third Eye Blind	Forget Myself (2006 Remastered Version)
Prince	Why You Wanna Treat Me So Bad?
The Decemberists	Red Right Ankle
Third Eye Blind	Tattoo Of The Sun (2006 Remastered LP Version)
Britt Nicole	World That Breaks
Katie Melua	crawling up a hill
Copeland	Chin Up
Bobby Blue Bland	I Pity the Fool
